,Ratings,Genre,Gross,Budget,Sequel,Views,Likes,Dislikes,Comments,Aggregate Followers,Year
37,7.9,1,100000000,178000000,1,15568277,29251,1730,6439,5610000,2014
38,6.3,3,23400000,20000000,1,11850723,24226,1343,2577,21500,2014
39,5.7,1,8690,4500000,1,735551,636,98,92,1060000,2014
40,7.1,9,1210000,24000000,1,6685088,8369,467,1580,13720000,2014
41,7.6,1,85700000,68000000,1,2276605,3946,331,1286,1888000,2014
42,6.4,3,102000,1850000,1,1034480,6490,181,374,66600,2014
43,5,3,60800000,2000000,1,456564,1706,413,890,412000,2014
44,6.1,10,104000,1000000,1,99427,47,10,12,0,2014
45,6.5,1,201000000,160000000,1,1156609,2968,112,547,1870000,2014
46,8.2,3,168000000,61000000,1,396010,1390,58,342,20640000,2014
47,8.1,1,333000000,170000000,1,1313548,8567,269,1285,2750000,2014
48,5.6,8,30100,70000,1,924347,1406,107,132,5887700,2014
49,5.8,3,91400000,12000000,1,175017,461,34,133,0,2014
50,6.1,1,72700000,100000000,1,9324678,15479,1130,3925,9414000,2014
51,6.3,8,54400000,42000000,2,1292235,5284,124,362,1650000,2014
52,7.9,12,177000000,145000000,2,11472161,22779,862,2863,671000,2014
53,6.8,3,50500000,11000000,1,9222933,41728,924,3609,1800000,2014
54,6.1,3,275000,8932779.93,1,8210,6,0,0,58900,2014
55,6.7,8,8090000,20000000,1,1167941,2651,82,797,0,2014
56,8.7,2,188000000,165000000,1,5421705,16635,751,4316,1865000,2014
57,5.8,1,47600000,50000000,1,4270410,8886,569,3058,301000,2014
58,6,2,128000000,50000000,1,817242,4391,112,346,4720000,2014
59,6.9,15,14700000,2000000,1,4877,6,1,1,0,2014
60,6.2,1,50500000,60000000,5,3320754,4322,347,1105,147000,2014
61,6.9,9,47000000,40000000,1,1438350,4028,133,543,27323,2014
62,7.2,1,43000000,20000000,1,4846645,14722,405,2732,0,2014
63,7,9,2450000,5000000,1,3650720,6917,234,1119,1045200,2014
64,7.8,1,128000000,81000000,1,2767873,46023,944,6946,5407000,2014
65,6.5,1,129000,25000000,1,289922,143,17,9,0,2014
66,3.1,1,14000000,16000000,1,5611593,11187,2111,7595,116800,2014
67,6.5,8,82400000,17000000,1,4450824,7315,546,909,2356000,2014
68,5.7,8,8300,2400000,1,1222921,5553,193,335,1463000,2014
69,4.8,7,2470,300000,1,30529,18,4,2,18100,2014
70,6.4,1,127000000,40000000,1,1142964,2346,167,311,0,2014
71,7,1,241000000,180000000,1,557012,3528,135,464,5633,2014
72,6.3,8,348000,15000000,1,177465,595,39,71,644000,2014
73,7.1,9,36400000,25000000,1,1470438,4314,168,511,130000,2014
74,5.4,8,10400000,5000000,1,667852,469,38,44,919000,2014
75,6.9,12,112000000,145000000,1,277848,890,45,88,8839043,2014
76,6.5,2,51200000,50000000,3,3037329,6696,564,1061,9850000,2014
77,6.3,8,4010000,5000000,1,446576,659,50,45,0,2014
78,6.6,1,43600000,66000000,1,1451649,7342,533,2305,2594000,2014
79,6.4,8,150000000,18000000,1,2554307,8722,298,693,14240000,2014
80,6.3,2,114000000,127000000,3,3779254,13535,362,1221,6480000,2014
81,7.9,10,32300000,8500000,1,6082510,12522,543,2170,0,2014
82,5.6,10,52500000,13200000,1,608230,895,118,387,1550500,2014
83,5.9,1,101000000,125000000,1,13661095,41254,3812,18077,1810000,2014
84,7,1,91400000,50000000,1,367551,700,19,37,648786,2014
85,5.2,8,35700,600000,1,5403836,187162,3145,24919,2720000,2014
86,4.4,15,50800000,5000000,1,11724815,30208,2150,4926,130000,2014
87,7.2,8,76100000,55000000,1,2028767,3829,500,665,124000,2014
88,5,15,32500000,5000000,1,105480,352,45,85,11444,2014
89,6.8,12,83300000,132000000,1,1223790,2934,123,226,47200,2014
90,5.9,12,59200000,50000000,3,2117798,2124,485,626,3603000,2014
91,5.6,1,23200000,100000000,1,355563,1568,106,267,370000,2014
92,6.1,1,134000000,25000000,1,8429023,27484,977,2195,21586000,2014
93,6.4,12,132000000,103000000,2,3849768,9783,704,1151,154400,2014
94,6.2,1,58600000,100000000,1,3305047,11733,1077,4319,250000,2014
95,6.6,9,3090000,5000000,1,909596,2214,186,632,0,2014
96,7.5,8,37400,5000000,1,827239,3221,89,432,217000,2014
97,5.7,1,10500000,35000000,1,3466458,6096,411,977,3678000,2014
98,7.5,9,52100000,20000000,1,3743181,16782,565,4973,9224,2014
99,5.4,3,176000,30000000,1,3726728,6221,405,1074,0,2014
100,5.5,1,17200000,95000000,1,23360,36,5,5,804300,2014
101,5.1,8,38500000,40000000,1,2757667,3030,418,251,4521000,2014
102,6.6,10,13800000,65000000,2,5223362,18770,627,2796,8620000,2014
103,5.5,9,59700000,22000000,1,943306,3006,325,1401,3185900,2014
104,5.8,3,20200,6000000,1,2426078,9230,184,373,33500,2014
105,7.3,8,44100000,13000000,1,4176181,9463,310,885,269849,2014
106,6.1,1,89300000,48000000,3,1544390,2975,136,380,216000,2014
107,4.8,8,84500000,20000000,1,3429055,7682,675,727,727000,2014
108,5.9,1,191000000,125000000,1,7908038,27312,3439,8533,1260000,2014
109,6.1,8,26000000,8000000,1,6132551,14539,653,846,11783000,2014
110,7.1,2,2590000,9500000,1,134353,280,43,308,0,2014
111,6.8,1,203000000,200000000,2,386857,4996,233,864,4520000,2014
112,6.9,3,924000,2000000,1,6501107,14139,890,2928,0,2014
113,6.6,3,26800000,26000000,1,5546710,15351,535,1271,48231,2014
114,7.3,12,50200000,50000000,1,5165441,17476,871,3229,10364000,2014
115,6.8,12,50800000,60000000,1,2545852,3964,378,554,1280000,2014
116,4.8,7,4240,7000000,1,330363,406,52,92,0,2014
117,7.1,10,10700000,12600000,1,2897407,5953,153,569,0,2014
118,7.2,1,102000000,55000000,1,7075635,15858,574,1966,1800000,2014
119,6.1,1,39300000,90000000,3,14453673,33092,1336,5005,1480000,2014
120,7.9,3,125000000,12000000,1,32626778,370552,4752,38363,4240000,2014
121,7,8,2820000,0,1,10747,4,1,1,818000,2014
122,6.1,10,33600000,25000000,1,4790221,4740,454,773,2740000,2014
123,6.5,3,45100000,25000000,1,523457,2187,149,565,184100,2014
124,7.4,3,2720000,20000000,1,1303646,3306,211,564,759800,2014
125,7.5,2,255000000,250000000,6,3554189,14152,262,1782,2613000,2014
126,6.6,3,2430000,16000000,1,26528,58,1,8,25748,2014
127,7.3,8,54200000,22000000,1,24809,277,12,52,20700,2014
128,6.8,2,337000000,125000000,3,3305417,14684,332,1176,31030000,2014
129,5,3,2820000,12000000,1,309610,729,97,113,275873,2014
130,8.1,9,91100000,14000000,1,3047849,11748,253,1237,0,2014
131,6.7,1,6110000,44000000,1,6231191,13331,1265,3430,6619435,2014
132,7.5,10,47100000,50000000,1,1325872,4829,104,378,5563500,2014
133,4.2,1,18800000,70000000,1,797229,1606,630,456,1174806,2014
134,7.8,12,258000000,60000000,1,439159,1847,105,289,4690000,2014
135,6.3,6,5980000,14000000,1,381071,238,27,43,14586,2014
136,6.8,1,102000000,34000000,1,3156436,18124,213,2753,4734000,2014
137,6.1,3,78000000,70000000,1,10649,21,1,0,3849,2014
138,6.3,1,25000000,15000000,1,1935432,3089,155,567,148000,2014
139,5.8,12,64200000,42000000,1,2269032,3046,546,554,0,2014
140,7.1,8,512000,100000,1,1223891,1309,148,239,226000,2014
141,6,8,83900000,40000000,1,8479994,35071,2233,3479,2731000,2014
142,6.5,1,71500000,9000000,2,1142295,3895,193,882,49424,2014
143,4.7,15,2750000,6500000,1,4092871,8781,794,2046,420000,2014
144,6.4,10,1110000,12250000,1,702,1,0,1,9842,2014
145,6.8,3,5000,11712310.56,1,253631,170,11,58,0,2014
146,7.8,9,35900000,15000000,1,3226251,18240,261,2104,8204,2014
147,7.2,3,4190000,22500000,1,3281842,4968,445,2099,1899400,2014
148,4.9,3,26500000,1000000,2,698,16,1,9,3086,2014
149,5.7,8,65200000,24000000,2,2063089,5858,336,346,24388000,2014
150,6.3,3,23000000,100000000,1,14141585,36646,1459,6811,5987,2014
151,5.8,1,245000000,210000000,4,170909,791,362,230,2814900,2014
152,5.4,8,1820000,2800000,1,473100,670,104,380,180100,2014
153,7.2,9,116000000,65000000,1,6637551,19833,815,3403,269000,2014
154,6.8,10,3320000,6000000,1,476747,2079,166,232,2536000,2014
155,6.6,3,30100000,15000000,1,280566,477,56,82,585000,2014
156,8.6,3,13100000,3300000,1,7750223,17541,631,2760,858000,2014
157,6.9,3,280000,2487820.27,1,166612,571,36,70,0,2014
158,7.2,2,37900000,15000000,1,5976092,9343,649,1333,781200,2014
159,8.2,8,3080000,3300000,1,697105,1023,39,429,0,2014
160,6.2,3,22500,60000000,1,719976,1312,76,189,1810000,2014
161,6.7,8,3590000,6000000,1,865690,1375,79,67,1818778,2014
162,8.1,1,234000000,200000000,7,2285,9,0,1,10280000,2014
163,6.2,9,717000,12000000,1,550734,894,44,77,168700,2014
164,7.3,1,643000000,150000000,4,9143740,34746,1074,5107,6180000,2015
165,7.8,1,458000000,250000000,2,10366624,31552,989,3843,10070000,2015
166,7.4,1,350000000,190000000,7,59056,330,8,39,11890000,2015
167,8.6,12,345000000,175000000,1,1438926,4632,262,496,232000,2015
168,6.6,1,325000000,74000000,2,1341909,1607,764,48,250000,2015
169,6.7,8,183000000,29000000,2,9214467,39824,998,1987,7336000,2015
170,7.8,3,171000000,150000000,5,8748596,20352,649,1842,6605000,2015
171,6.7,8,177000000,135000000,1,10341783,24413,1675,3426,5070000,2015
172,4.2,3,166000000,40000000,1,31859569,49900,13960,9119,946000,2015
173,6.1,8,162000000,74000000,2,5536822,29411,1840,1281,184000,2015
174,6.4,1,154000000,110000000,1,12632836,36508,2210,7559,9737600,2015
175,8.3,1,153000000,150000000,4,2732371,13030,497,1774,768700,2015
176,8.3,9,135000000,28000000,1,848970,12607,237,1560,55618,2015
177,6.4,2,130000000,110000000,2,2834800,5664,5746,66,4240000,2015
178,7.3,1,110000000,65000000,1,6649290,20750,750,1666,265000,2015
179,6.7,12,105000000,35000000,1,9511288,19903,2581,2955,2014000,2015
180,6.6,12,93200000,190000000,1,999867,4212,66,250,1198000,2015
181,6.1,8,90400000,40000000,1,10078326,26565,1418,2395,2939000,2015
182,6.8,1,89400000,155000000,5,84870,265,13,63,3877901,2015
183,6.6,8,81300000,68000000,2,6711914,29903,984,1767,10988000,2015
184,4.3,1,71000000,30000000,2,2389347,8809,935,892,1618000,2015
185,5.6,1,71000000,88000000,1,5340100,26134,2007,3717,2466000,2015
186,6.2,8,65900000,14800000,2,5128288,18475,858,1579,8392000,2015
187,6.7,8,64500000,23000000,1,4826940,10521,478,755,2284000,2015
188,6.3,2,54900000,31000000,5,2554327,10062,464,871,2347000,2015
189,4,1,52700000,120000000,1,7560211,24168,3524,7139,881000,2015
190,5,15,47400000,35000000,1,3651828,13998,969,2205,1066,2015
191,5.5,1,47400000,176000000,1,3920842,10535,565,1668,7460000,2015
192,7.3,3,42500000,25000000,1,11036701,50002,1005,3525,776000,2015
193,7,1,41900000,20000000,1,2947239,19201,625,1842,2113,2015
194,7.2,3,37400000,34000000,1,2393017,13291,369,584,324925,2015
195,7.6,1,36100000,5000000,1,2513544,6970,270,1105,1655987,2015
196,4.6,6,35400000,4000000,1,5588384,15144,913,1499,4599000,2015
197,5,1,34500000,35000000,1,6964819,26601,1111,1293,1630000,2015
198,6.6,8,34000000,8500000,1,12792898,56001,2083,4102,6714000,2015
199,7.4,10,33300000,11000000,1,6495,82,3,7,675000,2015
200,7.1,3,32400000,30000000,1,1841293,5879,314,634,788000,2015
201,6.9,3,31400000,12000000,1,2854910,23254,459,1087,4184000,2015
202,5.2,8,25800000,3300000,1,4442147,10605,691,2739,2007000,2015
203,5.5,1,19000000,10000000,2,11037833,36874,1885,4360,5699,2015
204,6.1,3,23500000,18000000,1,638374,4018,130,269,1887,2015
205,6.4,8,22300000,12000000,1,6646785,16041,955,2787,253499,2015
206,5.9,8,16100000,35000000,1,13154873,46684,3565,8578,209000,2015
207,7.5,8,16800000,700000,1,50444,238,3,28,986572,2015
208,5.1,8,12300000,14000000,2,11496,194,9,31,1891977,2015
208,6.5,1,10900000,28000000,1,2996539,1874,32,189,155000,2015
209,5.8,8,10600000,40000000,1,3098749,4311,341,881,1520000,2015
210,5.5,8,7610000,60000000,1,3850758,13363,453,1276,3045000,2015
211,5.4,3,7100000,70000000,1,2409338,6923,340,714,1334000,2015
212,8.2,8,6740000,8000000,1,4032265,18398,302,1298,2208,2015
213,4.5,15,1710000,8495000,1,1364537,3824,689,772,3841,2015
214,5.6,3,131000,4500000,1,5085068,14359,600,2468,3744000,2015
215,7.3,3,129000,4000000,1,63724,115,28,14,129000,2015
216,6.3,3,106000,1500000,1,44963,109,27,42,1188000,2015
217,7.8,1,169000000,130000000,1,9597644,32558,2672,8359,0,2015
218,7.7,1,49500000,30000000,1,11476882,40496,1383,4435,0,2015
219,7.7,3,25400000,15000000,1,419470,2218,46,239,0,2015
220,7.6,6,34600000,75000000,1,5216680,20010,500,2300,0,2015
221,7.1,8,201000000,95000000,1,10164908,22726,4245,5262,0,2015
222,7,1,31600000,49000000,1,7384182,23597,786,3481,0,2015
223,6.9,8,444000,1900000,1,890619,6352,293,700,0,2015
224,6.6,8,26400000,50000000,1,5671767,10073,480,1712,0,2015
225,6.6,1,33100000,10000000,2,831044,2427,99,247,0,2015
226,6.4,4,1210000,50000000,1,3701061,9325,641,1859,0,2015
227,5.5,15,21000000,37000000,1,7119456,18803,1128,2290,0,2015
228,5.4,8,10200000,35000000,1,3450614,6823,325,409,0,2015
229,5.4,1,12300000,3000000,1,66872,400,67,201,0,2015
230,4.4,15,22600000,100000,1,659772,2841,431,606,0,2015
